Pays;Type;Metal;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Mongolie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;8451;9990;10038;11485;13675;12097;11119;19418;24122;21267;17473;;;;;;;;;;;
Maroc;Production;Or;;;;;;;;;;;;;;;;;;;;;;;450;450;450;505;1191;2747;1863;1493;1800;1300;771;;;;;;;;;;;
Mozambique;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;19;23;;;;56;63;85;97;;;;;;;;;;;
Namibie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;2417;1882;2005;2455;2852;2947;2508;2205;2649;2790;2488;;;;;;;;;;;
Nouvelle-Zélande;Production;Or;;;;;;;;;;;;;;;;;;;;;;;11359;7739;8903;9880;9851;9771;9301;10151;10583;10658;8833;;;;;;;;;;;
Nicaragua;Production;Or;;;;;;;;;;;;;;;;;;;;;;;2563;3834;4448;3672;3840;3494;3096;4064;3674;3395;3330;;;;;;;;;;;
Niger;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;21;25;30;28;34;1590;4962;2615;3427;;;;;;;;;;;
Nigeria;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;40;52;;;;30;40;40;180;;;;;;;;;;;
Oman;Production;Or;;;;;;;;;;;;;;;;;;;;;;;584;579;597;551;603;188;4;192;350;358;248;;;;;;;;;;;
Panama;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1202;1517;1500;0;0;;;;;0;0;;;;;;;;;;;
Papouasie-Nouvelle-Guinée;Production;Or;;;;;;;;;;;;;;;;;;;;;;;48482;61641;65747;74540;67043;61379;67832;73500;68200;58349;57549;;;;;;;;;;;
Perou;Production;Or;;;;;;;;;;;;;;;;;;;;;;;77940;94214;128486;132585;138022;157298;172619;173219;207822;202822;170128;;;;;;;;;;;
Philippines;Production;Or;;;;;;;;;;;;;;;;;;;;;;;32199;34049;31050;36541;33841;36005;37844;35464;37490;36141;38792;;;;;;;;;;;
Pologne;Production;Or;;;;;;;;;;;;;;;;;;;;;;;375;409;489;367;349;296;356;527;713;1700;883;;;;;;;;;;;
Roumanie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;4000;2000;1800;1200;1600;1137;1878;1430;500;500;500;;;;;;;;;;;
Russie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;123937;113807;125870;142500;152641;168393;170068;169297;163186;159340;156912;;;;;;;;;;;
Rwanda;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;10;10;;;;;;;;;;;;;;;;;;
Arabie saoudite;Production;Or;;;;;;;;;;;;;;;;;;;;;;;7260;5153;4579;3637;2500;4600;8500;8268;7457;5182;4438;;;;;;;;;;;
Senegal;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;550;550;550;550;600;600;600;600;600;600;;;;;;;;;;;
Serbie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;500;;;;;;;;;;;
Serbie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;3014;2684;1260;1121;0;858;363;328;330;;;;;;;;;;;;;
Sierra Leone;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;48;71;212;;;;;;;;;;;
Slovaquie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;458;340;363;306;157;77;79;107;109;84;92;;;;;;;;;;;
Îles Salomon;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;1415;3426;1615;;;;60;20;20;93;;;;;;;;;;;
Afrique du sud;Production;Or;;;;;;;;;;;;;;;;;;;;;;;490600;465100;451200;430778;394757;398258;372766;337223;294803;272128;252345;;;;;;;;;;;
Espagne;Production;Or;;;;;;;;;;;;;;;;;;;;;;;3343;5791;5203;4304;4277;5559;5417;5251;2145;1565;;;;;;;;;;;;
Soudan;Production;Or;;;;;;;;;;;;;;;;;;;;;;;5000;5671;5565;5773;5438;5258;5500;4239;4739;3246;2701;;;;;;;;;;;
Suriname;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;8513;10619;10426;8585;;;;;;;;;;;
Suède;Production;Or;;;;;;;;;;;;;;;;;;;;;;;6777;5944;4202;3570;4986;5757;5900;6564;6564;6848;5159;;;;;;;;;;;
Taiwan;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;
Tajikistan;Production;Or;;;;;;;;;;;;;;;;;;;;;;;2550;3200;2700;2700;2700;2700;2370;2161;1927;1920;2000;;;;;;;;;;;
Tanzanie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;232;427;4890;15060;30088;43320;48018;48176;47270;39750;40193;;;;;;;;;;;
Thailand;Production;Or;;;;;;;;;;;;;;;;;;;;;;;0;;;0;313;4950;4269;4507;4393;3470;3401;;;;;;;;;;;
Togo;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6179;7184;10159;;;;;;;;;;;
Turquie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1000;1000;1200;500;1100;4500;5370;3260;4170;8040;9920;;;;;;;;;;;
États-Unis;Production;Or;;;;;;;;;;;;;;;;;;;;;;;362295;366411;341481;353437;335000;298000;276897;257905;255757;251853;238136;;;;;;;;;;;
Ouganda;Production;Or;;;;;;;;;;;;;;;;;;;;;;;6819;5029;5558;9860;6090;7590;4160;1447;1500;2192;2543;;;;;;;;;;;
Ukraine;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;24;135;;;;;;;;;;;;;;;;;;
Royaume-Uni;Production;Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;88;;;;;;;;;;;
Uruguay;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1200;2303;2392;2240;2083;2079;1550;1758;2930;2800;3172;;;;;;;;;;;
Ouzbékistan;Production;Or;;;;;;;;;;;;;;;;;;;;;;;81700;81000;88100;87500;85400;85636;84610;88350;84210;76620;72850;;;;;;;;;;;
Venezuela;Production;Or;;;;;;;;;;;;;;;;;;;;;;;22322;6740;5946;7332;9076;9465;8190;9690;10480;11600;11809;;;;;;;;;;;
Vietnam;Production;Or;;;;;;;;;;;;;;;;;;;;;;;1800;1800;1900;2000;3000;2000;2000;2000;3000;124;311;;;;;;;;;;;
Zambie;Production;Or;;;;;;;;;;;;;;;;;;;;;;;226;210;79;100;120;140;140;0;443;964;1269;;;;;;;;;;;
Zimbabwe;Production;Or;;;;;;;;;;;;;;;;;;;;;;;24225;25175;27114;22007;18050;15669;11514;21330;14024;11354;7018;;;;;;;;;;;
Australie;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;429;827;816;812;828;811;477;846;603;959;742;;;;;;;;;;;
Australie;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;315;155;90;171;174;122;133;196;58;;;;;;;;;;;;;
Botswana;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;;900;1300;2200;2500;1900;2000;3110;;;;;;;;;;;
Botswana;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;;200;300;500;500;300;300;529;;;;;;;;;;;
Canada;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;7200;8600;8500;9500;12800;15100;11500;16000;13800;14900;14100;;;;;;;;;;;
Canada;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;4600;5500;5400;6000;8100;9500;7200;9100;7900;8500;8100;;;;;;;;;;;
Chine;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;200;350;400;450;600;600;550;650;;;;;;;;;;;
Chine;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;400;700;800;900;1200;1200;1100;1300;;;;;;;;;;;
Ethiopie;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;3;;;;;;;;;;;
Pologne;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;20;;;;;;;;;;;
Pologne;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30;30;;;;;;;;;;;
Russie;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;149300;180400;168000;161700;135000;60000;91800;149300;143700;121900;141200;;;;;;;;;;;
Russie;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;28000;40400;16800;34200;40400;30500;32700;26400;27700;28600;28500;;;;;;;;;;;
Serbie;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;15;;;;;;;;;;;
Serbie;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;
Afrique du sud;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;55675;56608;58164;55818;62142;64244;70946;76403;84908;86265;86461;;;;;;;;;;;
Afrique du sud;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;115861;116483;121304;114459;129746;133796;148348;153239;168749;168125;165835;;;;;;;;;;;
États-Unis;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;8430;10580;9800;10260;12600;14805;13996;13654;13312;14401;13312;;;;;;;;;;;
États-Unis;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;2610;3240;2920;3110;3760;4385;4168;4043;3919;4292;3857;;;;;;;;;;;
Zimbabwe;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;245;1855;278;360;371;1728;1770;3564;3879;4022;3999;;;;;;;;;;;
Zimbabwe;Production;Groupe du platine;;;;;;;;;;;;;;;;;;;;;;;345;2730;390;504;519;2053;2330;4438;4833;4998;5086;;;;;;;;;;;
Chine;Production;Gallium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;Production;Gallium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;
Australie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5779;5365;4838;4275;5411;6837;6252;6777;6020;5221;5609
Botswana;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;337;342;272;149;195;248;196;316;248;0;0
Brézil;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2631;2075;3139;3623;2900;3500;3838;2771;852;28;4
Canada;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8953;3919;4636;6836;6676;7168;6907;7489;7148;6058;5268
Chine;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6630;6003;6382;6843;7498;8580;9619;10093;9293;9000;9000
République démocratique du Congo;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42461;56258;97693;99475;86433;76593;75560;83529;68822;82461;109402
Cuba;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3175;3721;3706;3853;3792;3319;4143;4729;5514;5407;5300
Finlande;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;27;140;480;1381;2061;2104;2119;2260;1900;1377
Indonésie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;650;650;1600;3200;3600;4700;329;350;350;350;350
Madagascar;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;718;2340;3221;3920;3370;2840;2655
Maroc;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1791;1600;1582;1518;1314;1353;1391;1722;2081;1924;1806
Nouvelle-Calédonie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;869;913;1735;2520;3026;7414;8239;11444;17844;9397;9400
Papouasie-Nouvelle-Guinée;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;469;1013;2134;2505;2191;3308;3275
Philippines;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1200;1500;1500;1500;2269;2126;4094;4140;4400;3700;5400
Russie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2502;2352;2460;2337;2186;2368;5400;5800;5600;4700;5330
Afrique du sud;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244;238;1680;862;1102;1294;1332;1362;1101;1062;1007
États-Unis;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;120;760;690;640;630
Ouganda;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;663;673;568;673;556;181;;;;;
Vietnam;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;223;277;134;0;0
Zambie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4041;1535;5134;5956;5665;5658;4562;2979;5276;3240;1585
Zimbabwe;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;39;58;174;195;319;358;355;409;445;403
Australie;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
Brézil;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;834;303;249;290;206;0;0;;;;
Burundi;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;50;1075
Chine;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125000;129000;120000;105000;100000;;;;;;
Inde;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;16;;;;491;2825;1500;3500;;
Malaisie;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;25;622;571;113;261;372;499;1875;302;86
Malaisie;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;110;208;66;97;83;66;4;0;1568
Russie;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6628;5120;6226;6712;7485;7700;8509;8756;8928;9224
États-Unis;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;3000;5500;5400;5900;0;0;15000
Australie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;940;140;0;240;100;0;0;250;38;74;84
Bolivie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;23;1;0;9;59
Brézil;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;440;250;310;240;210;10000;10000;21975;10518;12455;12500
Brézil;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102167;112631;;;;;;
Brézil;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;241000;276000;238000;243000;268000;150000;170000;152709;132275;153169;150000
Burundi;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117;44;29;159;259;74;106;53;32;74;75
Canada;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4419;4532;4819;4910;5480;5753;6099;6981;7000
Canada;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10200;9500;10100;10800;10900;12300;13000;11600;11600;11600;11600
Canada;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;88;0;0;0;121;;;;;
Chine;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;350;350;170;180;190;240;380;420;440;480
République démocratique du Congo;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;509;490;279;383;586;500;1140;2102;2414;2174;2267
Ethiopie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183;206;400;95;91;11;46;59;63;65;70
Madagascar;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;21;8;;;;;;;
Malaisie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;216;176;84;110;262;190;255;86;77;61;274
Mozambique;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;13;19;18;18
Mozambique;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;396;405;55;39;83;43;;;;;
Nigeria;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;335;300;128;22;22;21;22;22;21;12;1814
Nigeria;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;58;64;63;60;60;60;28;19;920
Russie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;585;511;397;431;450;511;581;628;628;648;669
Russie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;35;31;27;31;32;40;32;49;45;44
Rwanda;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;922;950;749;890;1145;2466;2303;1652;1270;1725;1706
Ouganda;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;13;11;13
Algerie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114;200;147;70;42;27;16;20;20;20;20
Argentine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;355596;415235;693600;702000;750000;774470;905100;1079300;933100;995000;1101000
Armenie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9200;9000;16400;16100;14000;14083;13295;14344;12792;15552;12441
Australie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1895939;1702095;1879222;1725006;1726933;1839782;1846847;1430298;1418219;1120175;1254480
Azerbaijan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1400;4175;626;2051;970;890;5136;8076;8943
Bolivie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1114000;1325730;1259000;1215586;1206000;1287200;1346941;1306977;1356620;1222371;1191024
Botswana;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;8700;22597;22288;2801;0;0;0
Brézil;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17412;14590;14630;15238;20145;22427;32300;44142;48793;41900;49600
Bulgarie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55000;55000;55000;55000;55000;55637;50200;37955;52526;53053;41315
Burkina Faso;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800;1800;3500;5000;4500;19500;5400;5500;5800;7000;8000
Canada;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;755103;617777;591482;661089;685255;640362;495403;383807;385134;389568;366000
Chili;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1405020;1301018;1286688;1291272;1194521;1173845;1571788;1504271;1501436;1318582;1370237
Chine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2800000;2900000;3085441;3231626;3639100;3673300;3673300;3421355;3496003;3502223;3573761
Colombie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9162;10827;15300;24045;19451;14046;11692;11602;11866;12074;15967
République démocratique du Congo;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34100;0;5875;9187;12342;60431;6485;2401;800;500;600
Chypre;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;99;180
République dominicaine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2934;23120;22816;18169;27296;78228;135024;95705;121748;151756;166499
Équateur;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;305;116;1169;1589;2934;1198;577;2521;934;68;192
Érythrée;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;4417;29922;15799;47398;38910;13219;1192;31000
Ethiopie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2714;771;771;715;2400;1400;1020;1000;745;1000;1000
Fidji;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;265;313;328;418;342;462;361;354;354;350;358
Finlande;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11258;11721;11020;11160;10479;14226;12830;13051;16348;13654;12849
Ghana;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3200;3928;3900;3900;3900;3900;4199;4000;4000;2800;10200
Grèce;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33500;27500;29000;33300;39800;39759;35785;28100;29300;23200;38500
Groenland;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;9;27;3;;;;;
Guatemala;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99131;129281;194681;273058;204681;281331;858349;862814;837815;336944;0
Honduras;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59484;58768;59787;50634;51896;50916;58826;34369;17600;21784;31182
Inde;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105284;138780;148303;207144;374046;349774;327647;426443;460811;557691;653000
Indonésie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226051;359451;335040;227173;247827;123109;119189;151934;185234;331644;383000
Iran;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40000;40000;40000;40000;40000;35000;34945;48400;50000;50000;50000
ireland;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7172;5267;3818;6109;9454;7822;6436;3770;1080;1340;1160
Côte d'Ivoire;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;98;410;572;585;587;549;493;137
Japon;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3726;4469;4981;4486;3536;3644;3541;4616;5076;3408;3596
Kazakhstan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;645627;618141;552060;650649;963182;963580;989247;1308926;1186511;1060662;969347
Corée du Sud;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;1700;2025;2649;2925;3897;3289;4600;6579;8863;7090
Corée du Nord;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000;50000
Kirghizistan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10400;9300;10400;13500;12900;12400
Laos;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6706;14726;17234;17976;20221;32262;39823;51764;51301;42840;37464
Malaisie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;349;367;436;459;1628;361;533;945;1075;1404;1542
Mali;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3220;2577;2490;2608;2005;2100;2600
Mexique;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3236312;3553841;4410749;4777710;5358195;5821001;5765662;5955151;5408521;5815034;7243245
Mongolie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19954;20397;19641;19107;19118;29332;39160;48989;79480;72440;64800
Maroc;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201195;210000;243000;186090;170340;194077;188538;216383;237418;239416;190500
Namibie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1215;700;0;1841;966;1400;1129;11555;4702;7451;3602
Nouvelle-Zélande;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18269;14264;17136;14324;5630;11223;15811;12498;7960;8022;6332
Nicaragua;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3720;4491;6995;7927;10207;13745;13889;18576;21382;15419;11263
Niger;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;289;256;326;197;329;110;67;119;100;100;100
Macédoine du Nord;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40000;35000;32000;30000;31000;23400;23900;17700;14000;12775;12694
Oman;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2140;2162;;;;;;;;;
Papouasie-Nouvelle-Guinée;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48062;55082;83957;90055;81332;89666;81096;44588;90498;69330;104004
Perou;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3685931;3922708;3640444;3418862;3480587;3674283;3768147;4101568;4375337;4417887;4162658
Philippines;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14224;33808;41004;45530;49211;40043;23005;29952;35186;31748;29782
Pologne;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1221000;1221000;1183000;1167000;1149000;1161114;1384000;1407000;1482000;1490000;1471000
Portugal;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26273;20483;20561;28027;29890;40621;43172;41337;38631;40186;55706
Roumanie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18000;18000;18000;18000;18000;18000;18000;18000;18000;18000;18000
Russie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1132200;1312600;1144600;1134000;1425000;1427700;1433900;1580100;1493000;1373000;1400100
Arabie saoudite;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8233;7527;7670;5839;5500;4158;4888;4500;4710;5069;5322
Senegal;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;670;850;1150;540;500;700;700
Serbie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2300;4424;4384;7380;8388;5800;8600;7500;11300;11900;9000
Slovaquie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;201;320;330;441;508;437;532;391;410;345
Îles Salomon;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;592;902;685;280;0;0;0;0
Afrique du sud;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75199;77780;79315;73180;67304;68777;37268;38824;52127;62536;46467
Espagne;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2200;20800;29900;32943;27900;27300;27300;17600;98600;165300
Soudan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;413;631;700;700;700;1000;1000;1000;1000;1000
Suède;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;293068;288590;302145;301959;309337;341346;382611;479686;498686;467500;443624
Tajikistan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3100;3100;3100;1800;1800;1800;1700;2700;3200;3100;6300
Tanzanie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10388;8231;12040;13524;11227;11014;14493;15569;17984;10911;12041
